,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Región
285,2020,1,Santiago Del Estero,42.466359187991806,Región NOA
286,2020,1,Tierra Del Fuego,76.06964979018785,Región Patagonia
287,2020,1,Tucumán,47.84792325850032,Región NOA
288,2019,4,Buenos Aires,64.25205288245421,Región Buenos Aires
289,2019,4,Capital Federal,106.24546751041055,Región AMBA
290,2019,4,Catamarca,36.43842912715547,Región NOA
291,2019,4,Chaco,36.835478630342415,Región NEA
292,2019,4,Chubut,51.145017855147124,Región Patagonia
293,2019,4,Córdoba,70.48295566244217,Región Centro
294,2019,4,Corrientes,38.767440989262106,Región NEA
295,2019,4,Entre Ríos,57.99221691704514,Región Centro
296,2019,4,Formosa,30.471313480544048,Región NEA
297,2019,4,Jujuy,45.37754633175065,Región NOA
298,2019,4,La Pampa,76.92418969170417,Región Patagonia
299,2019,4,La Rioja,47.13589011052434,Región Cuyo
300,2019,4,Mendoza,33.64903072027183,Región Cuyo
301,2019,4,Misiones,39.78923684048622,Región NEA
302,2019,4,Neuquén,59.35590092822445,Región Patagonia
303,2019,4,Río Negro,55.70500968287489,Región Patagonia
304,2019,4,Salta,50.35463892238824,Región NOA
305,2019,4,San Juan,32.85497572815534,Región Cuyo
306,2019,4,San Luis,74.92002603481464,Región Cuyo
307,2019,4,Santa Cruz,36.71136308535834,Región Patagonia
308,2019,4,Santa Fe,69.48235725596862,Región Centro
309,2019,4,Santiago Del Estero,42.92077382358182,Región NOA
310,2019,4,Tierra Del Fuego,79.69536136377089,Región Patagonia
311,2019,4,Tucumán,47.64902012521289,Región NOA
312,2019,3,Buenos Aires,69.35630106079125,Región Buenos Aires
313,2019,3,Capital Federal,112.6453878037209,Región AMBA
314,2019,3,Catamarca,30.883614526737205,Región NOA
315,2019,3,Chaco,35.8460309754608,Región NEA
316,2019,3,Chubut,47.56624162293312,Región Patagonia
317,2019,3,Córdoba,68.59234901069021,Región Centro
318,2019,3,Corrientes,38.48535113586719,Región NEA
319,2019,3,Entre Ríos,57.90009945796624,Región Centro
320,2019,3,Formosa,30.11243299777749,Región NEA
321,2019,3,Jujuy,44.322486842913605,Región NOA
322,2019,3,La Pampa,77.45269423291748,Región Patagonia
323,2019,3,La Rioja,47.94290512174643,Región Cuyo
324,2019,3,Mendoza,40.73714258735342,Región Cuyo
325,2019,3,Misiones,39.33292986744382,Región NEA
326,2019,3,Neuquén,64.13887269491578,Región Patagonia
327,2019,3,Río Negro,63.42470088700958,Región Patagonia
328,2019,3,Salta,44.47617792228716,Región NOA
329,2019,3,San Juan,37.06231303554226,Región Cuyo
330,2019,3,San Luis,85.22608876849344,Región Cuyo
331,2019,3,Santa Cruz,35.62816097885956,Región Patagonia
332,2019,3,Santa Fe,68.87178057593026,Región Centro
333,2019,3,Santiago Del Estero,55.30391146854541,Región NOA
334,2019,3,Tierra Del Fuego,96.46210963092378,Región Patagonia
335,2019,3,Tucumán,39.487600204016815,Región NOA
336,2019,2,Buenos Aires,67.84713982374198,Región Buenos Aires
337,2019,2,Capital Federal,110.54556699485231,Región AMBA
338,2019,2,Catamarca,32.13095022019278,Región NOA
339,2019,2,Chaco,34.14026097986763,Región NEA
340,2019,2,Chubut,46.98798413626923,Región Patagonia
341,2019,2,Córdoba,68.07130938789848,Región Centro
342,2019,2,Corrientes,38.15558588418795,Región NEA
343,2019,2,Entre Ríos,57.47823458872391,Región Centro
344,2019,2,Formosa,30.418236006943307,Región NEA
345,2019,2,Jujuy,44.511922790626045,Región NOA
346,2019,2,La Pampa,77.08313750288404,Región Patagonia
347,2019,2,La Rioja,48.704939144243156,Región Cuyo
348,2019,2,Mendoza,40.754624235362655,Región Cuyo
349,2019,2,Misiones,39.14612554169944,Región NEA
350,2019,2,Neuquén,63.080964327674394,Región Patagonia
351,2019,2,Río Negro,61.0942074999118,Región Patagonia
352,2019,2,Salta,41.89319832036978,Región NOA
353,2019,2,San Juan,35.59971733748176,Región Cuyo
354,2019,2,San Luis,81.789994425864,Región Cuyo
355,2019,2,Santa Cruz,28.846063055322123,Región Patagonia
356,2019,2,Santa Fe,67.42291993321949,Región Centro
357,2019,2,Santiago Del Estero,52.78997126317105,Región NOA
358,2019,2,Tierra Del Fuego,94.79803428023493,Región Patagonia
359,2019,2,Tucumán,40.13604621420884,Región NOA
360,2019,1,Buenos Aires,66.24255522736811,Región Buenos Aires
361,2019,1,Capital Federal,109.19616455883845,Región AMBA
362,2019,1,Catamarca,32.190488956121285,Región NOA
363,2019,1,Chaco,32.635876579429485,Región NEA
364,2019,1,Chubut,42.99773633717796,Región Patagonia
365,2019,1,Córdoba,65.5173840768055,Región Centro
366,2019,1,Corrientes,35.13498688698812,Región NEA
367,2019,1,Entre Ríos,56.78815996169284,Región Centro
368,2019,1,Formosa,29.677694630431926,Región NEA
369,2019,1,Jujuy,46.40843874036665,Región NOA
370,2019,1,La Pampa,76.35457433780647,Región Patagonia
371,2019,1,La Rioja,50.184587883262736,Región Cuyo
372,2019,1,Mendoza,37.657164970282864,Región Cuyo
373,2019,1,Misiones,36.25716826552349,Región NEA
374,2019,1,Neuquén,58.87800433437489,Región Patagonia
375,2019,1,Río Negro,53.57164978100252,Región Patagonia
376,2019,1,Salta,40.09834441771615,Región NOA
377,2019,1,San Juan,31.833058053465464,Región Cuyo
378,2019,1,San Luis,67.3379373977716,Región Cuyo
379,2019,1,Santa Cruz,23.66765499676892,Región Patagonia
380,2019,1,Santa Fe,66.97409094791476,Región Centro
381,2019,1,Santiago Del Estero,37.519416746003905,Región NOA
382,2019,1,Tierra Del Fuego,93.37581922721242,Región Patagonia
383,2019,1,Tucumán,41.63074443134759,Región NOA
384,2018,4,Buenos Aires,64.60284663484316,Región Buenos Aires
385,2018,4,Capital Federal,108.27314997057414,Región AMBA
386,2018,4,Catamarca,32.225346166025346,Región NOA
387,2018,4,Chaco,32.59096087632982,Región NEA
388,2018,4,Chubut,42.61093609604538,Región Patagonia
389,2018,4,Córdoba,65.08926459112368,Región Centro
390,2018,4,Corrientes,34.56627656869549,Región NEA
391,2018,4,Entre Ríos,54.37477348639939,Región Centro
392,2018,4,Formosa,29.73653915732,Región NEA
393,2018,4,Jujuy,46.53226639132679,Región NOA
394,2018,4,La Pampa,73.49404828314209,Región Patagonia
395,2018,4,La Rioja,50.347993917417234,Región Cuyo
396,2018,4,Mendoza,37.757783845911696,Región Cuyo
397,2018,4,Misiones,34.4507488777944,Región NEA
398,2018,4,Neuquén,59.06916926636779,Región Patagonia
399,2018,4,Río Negro,51.86140345426057,Región Patagonia
400,2018,4,Salta,39.801610069738146,Región NOA
401,2018,4,San Juan,31.89625207025579,Región Cuyo
402,2018,4,San Luis,67.55045369760039,Región Cuyo
403,2018,4,Santa Cruz,23.68919410065612,Región Patagonia
404,2018,4,Santa Fe,65.58706886191564,Región Centro
405,2018,4,Santiago Del Estero,37.40072595129344,Región NOA
406,2018,4,Tierra Del Fuego,93.59257086207943,Región Patagonia
407,2018,4,Tucumán,41.75796963877769,Región NOA
408,2018,3,Buenos Aires,64.44056759752046,Región Buenos Aires
409,2018,3,Capital Federal,108.44591411021922,Región AMBA
410,2018,3,Catamarca,32.91594537411041,Región NOA
411,2018,3,Chaco,32.283100833077576,Región NEA
412,2018,3,Chubut,56.391745852269025,Región Patagonia
413,2018,3,Córdoba,64.24210026029336,Región Centro
414,2018,3,Corrientes,34.24993887383215,Región NEA
415,2018,3,Entre Ríos,50.222013858377494,Región Centro
416,2018,3,Formosa,29.576573428878444,Región NEA
417,2018,3,Jujuy,23.263700137195517,Región NOA
418,2018,3,La Pampa,71.75023651844843,Región Patagonia
419,2018,3,La Rioja,50.73304318059562,Región Cuyo
420,2018,3,Mendoza,37.990597267996215,Región Cuyo
421,2018,3,Misiones,32.10366641805902,Región NEA
422,2018,3,Neuquén,60.48661674396911,Región Patagonia
423,2018,3,Río Negro,50.54264808703746,Región Patagonia
424,2018,3,Salta,39.42741342068409,Región NOA
425,2018,3,San Juan,33.05141650392377,Región Cuyo
426,2018,3,San Luis,52.35311497551916,Región Cuyo
427,2018,3,Santa Cruz,32.72785029455932,Región Patagonia
428,2018,3,Santa Fe,63.4096146162309,Región Centro
429,2018,3,Santiago Del Estero,36.24961697805127,Región NOA
430,2018,3,Tierra Del Fuego,92.77191839394062,Región Patagonia
431,2018,3,Tucumán,41.68101359528755,Región NOA
432,2018,2,Buenos Aires,62.78226651094991,Región Buenos Aires
433,2018,2,Capital Federal,106.53494128146691,Región AMBA
434,2018,2,Catamarca,32.8575008674866,Región NOA
435,2018,2,Chaco,31.251704996034892,Región NEA
436,2018,2,Chubut,54.90230333735512,Región Patagonia
437,2018,2,Córdoba,63.2743661231958,Región Centro
438,2018,2,Corrientes,33.80975390881165,Región NEA
439,2018,2,Entre Ríos,49.20261187052838,Región Centro
440,2018,2,Formosa,29.434226520796997,Región NEA
441,2018,2,Jujuy,23.432202729854474,Región NOA
442,2018,2,La Pampa,71.04033787278055,Región Patagonia
443,2018,2,La Rioja,50.97789073923241,Región Cuyo
444,2018,2,Mendoza,36.97287272406129,Región Cuyo
445,2018,2,Misiones,31.630907682221824,Región NEA
446,2018,2,Neuquén,60.23679161402031,Región Patagonia
447,2018,2,Río Negro,50.147894623963396,Región Patagonia
448,2018,2,Salta,39.93719209989731,Región NOA
449,2018,2,San Juan,32.94664884868421,Región Cuyo
450,2018,2,San Luis,15.150424491351385,Región Cuyo
451,2018,2,Santa Cruz,33.33236451006607,Región Patagonia
452,2018,2,Santa Fe,62.57079239957442,Región Centro
453,2018,2,Santiago Del Estero,35.256464211164236,Región NOA
454,2018,2,Tierra Del Fuego,91.60519629538562,Región Patagonia
455,2018,2,Tucumán,41.512563170017415,Región NOA
456,2018,1,Buenos Aires,62.62621166168454,Región Buenos Aires
457,2018,1,Capital Federal,106.23567174586837,Región AMBA
458,2018,1,Catamarca,32.79361613741535,Región NOA
459,2018,1,Chaco,30.829927645702472,Región NEA
460,2018,1,Chubut,53.71560488248906,Región Patagonia
461,2018,1,Córdoba,63.51716965201617,Región Centro
462,2018,1,Corrientes,32.66346087317512,Región NEA
463,2018,1,Entre Ríos,48.68120241785722,Región Centro
464,2018,1,Formosa,21.404310259211442,Región NEA
465,2018,1,Jujuy,23.121260875677535,Región NOA
466,2018,1,La Pampa,71.75163692275797,Región Patagonia
467,2018,1,La Rioja,51.44351011244806,Región Cuyo
468,2018,1,Mendoza,37.07215110240331,Región Cuyo
469,2018,1,Misiones,30.95673588446963,Región NEA
470,2018,1,Neuquén,61.517390351563726,Región Patagonia
471,2018,1,Río Negro,49.816861312232405,Región Patagonia
472,2018,1,Salta,39.775591632918804,Región NOA
473,2018,1,San Juan,32.60917745169287,Región Cuyo
474,2018,1,San Luis,15.14879034827491,Región Cuyo
475,2018,1,Santa Cruz,33.55275989857616,Región Patagonia
476,2018,1,Santa Fe,62.28199844300957,Región Centro
477,2018,1,Santiago Del Estero,34.9882694482421,Región NOA
478,2018,1,Tierra Del Fuego,65.19963702359347,Región Patagonia
479,2018,1,Tucumán,41.176009388866156,Región NOA
480,2017,4,Buenos Aires,57.609615290258205,Región Buenos Aires
481,2017,4,Capital Federal,122.89742418734991,Región AMBA
482,2017,4,Catamarca,28.620950093924897,Región NOA
483,2017,4,Chaco,30.808158111236537,Región NEA
484,2017,4,Chubut,51.46309626749354,Región Patagonia
485,2017,4,Córdoba,63.33262565207773,Región Centro
486,2017,4,Corrientes,32.51511831118755,Región NEA
487,2017,4,Entre Ríos,47.885245293746834,Región Centro
488,2017,4,Formosa,21.270976689249718,Región NEA
489,2017,4,Jujuy,22.742083716267025,Región NOA
490,2017,4,La Pampa,71.04976106378558,Región Patagonia
491,2017,4,La Rioja,51.56847440546175,Región Cuyo
492,2017,4,Mendoza,33.32562553415048,Región Cuyo
493,2017,4,Misiones,31.14218485379854,Región NEA
494,2017,4,Neuquén,61.24232317785096,Región Patagonia
495,2017,4,Río Negro,49.37562976824529,Región Patagonia
496,2017,4,Salta,39.79624247145896,Región NOA
497,2017,4,San Juan,30.29992919128174,Región Cuyo
