,Provincia,Año,Accesos por cada 100 hogares,Objetivo
169,San Luis,2021,81.22040632384719,86.09363070327802
170,San Luis,2022,83.62355765150443,88.64097111059469
171,Santa Cruz,2014,28.587680522639843,30.302941353998232
172,Santa Cruz,2015,27.604484755212955,29.26075384052573
173,Santa Cruz,2016,26.869184089266582,28.481335134622576
174,Santa Cruz,2017,28.744483541490155,30.469152553979566
175,Santa Cruz,2018,30.82554220096442,32.675074733022285
176,Santa Cruz,2019,31.213310529077237,33.08610916082187
177,Santa Cruz,2020,36.1795004064235,38.35027043080891
178,Santa Cruz,2021,43.1153206591588,45.70223989870833
179,Santa Cruz,2022,43.30210577763263,45.90023212429059
180,Santa Fe,2014,48.85838035530693,51.789883176625345
181,Santa Fe,2015,51.54376954867488,54.63639572159537
182,Santa Fe,2016,52.14425467987469,55.27290996066717
183,Santa Fe,2017,56.71471144649179,60.1175941332813
184,Santa Fe,2018,63.462368580182634,67.27011069499359
185,Santa Fe,2019,68.18778717825828,72.27905440895377
186,Santa Fe,2020,71.30677214646961,75.58517847525779
187,Santa Fe,2021,75.27289993871662,79.78927393503962
188,Santa Fe,2022,78.038646186896,82.72096495810976
189,Santiago Del Estero,2014,16.691724085817274,17.69322753096631
190,Santiago Del Estero,2015,17.07254604838268,18.09689881128564
191,Santiago Del Estero,2016,15.623042085758577,16.560424610904093
192,Santiago Del Estero,2017,23.267134640306626,24.663162718725022
193,Santiago Del Estero,2018,35.97376914718776,38.13219529601903
194,Santiago Del Estero,2019,47.13351832532555,49.96152942484508
195,Santiago Del Estero,2020,43.264678487571125,45.86055919682539
196,Santiago Del Estero,2021,46.569076845740575,49.36322145648501
197,Santiago Del Estero,2022,47.725684598310124,50.589225674208734
198,Tierra Del Fuego,2014,65.03647306597455,68.93866144993302
199,Tierra Del Fuego,2015,72.51587204833157,76.86682437123147
200,Tierra Del Fuego,2016,68.19926072757625,72.29121637123082
201,Tierra Del Fuego,2017,65.75472749235526,69.70001114189657
202,Tierra Del Fuego,2018,85.79233064374978,90.93987048237477
203,Tierra Del Fuego,2019,91.0828311255355,96.54780099306764
204,Tierra Del Fuego,2020,76.37851580171338,80.96122674981618
205,Tierra Del Fuego,2021,84.64741213814253,89.72625686643107
206,Tierra Del Fuego,2022,99.77513759668199,105.7616458524829
207,Tucumán,2014,34.15753316767511,36.206985157735616
208,Tucumán,2015,36.10971132640389,38.27629400598812
209,Tucumán,2016,37.45964496840195,39.70722366650607
210,Tucumán,2017,38.91966177356154,41.254841479975234
211,Tucumán,2018,41.5318889482372,44.02380228513144
212,Tucumán,2019,42.225852743696535,44.759403908318326
213,Tucumán,2020,51.910054523448665,55.024657794855585
214,Tucumán,2021,55.077288734213454,58.38192605826626
215,Tucumán,2022,59.72000806807799,63.303208552162666
