,Año,Trimestre,Provincia,Mbps (Media de bajada),Región
464,2018,1,Formosa,11.056815367469506,Región NEA
465,2018,1,Jujuy,6.741185879384532,Región NOA
466,2018,1,La Pampa,3.995131352064104,Región Patagonia
467,2018,1,La Rioja,5.890820604111634,Región Cuyo
468,2018,1,Mendoza,5.881626969169374,Región Cuyo
469,2018,1,Misiones,12.082189465143012,Región NEA
470,2018,1,Neuquén,11.96045995607415,Región Patagonia
471,2018,1,Río Negro,8.976243194361576,Región Patagonia
472,2018,1,Salta,9.1894409821995,Región NOA
473,2018,1,San Juan,5.850581035549749,Región Cuyo
474,2018,1,San Luis,5.89436270457927,Región Cuyo
475,2018,1,Santa Cruz,5.1892899508557875,Región Patagonia
476,2018,1,Santa Fe,11.173305005746002,Región Centro
477,2018,1,Santiago Del Estero,6.248210722163038,Región NOA
478,2018,1,Tierra Del Fuego,5.768082036032884,Región Patagonia
479,2018,1,Tucumán,9.355631684806106,Región NOA
480,2017,4,Buenos Aires,12.9720825438982,Región Buenos Aires
481,2017,4,Capital Federal,15.20221886916041,Región AMBA
482,2017,4,Catamarca,7.78415435139573,Región NOA
483,2017,4,Chaco,11.702868121959403,Región NEA
484,2017,4,Chubut,5.408238076890145,Región Patagonia
485,2017,4,Córdoba,11.63658470115664,Región Centro
486,2017,4,Corrientes,10.384400430891967,Región NEA
487,2017,4,Entre Ríos,9.295960619999066,Región Centro
488,2017,4,Formosa,10.114170463766307,Región NEA
489,2017,4,Jujuy,6.638821273566491,Región NOA
490,2017,4,La Pampa,3.9758194449815036,Región Patagonia
491,2017,4,La Rioja,5.877588849506658,Región Cuyo
492,2017,4,Mendoza,5.71002586675844,Región Cuyo
493,2017,4,Misiones,11.324123723249613,Región NEA
494,2017,4,Neuquén,10.719151524540269,Región Patagonia
495,2017,4,Río Negro,8.045522324672751,Región Patagonia
496,2017,4,Salta,8.451742767775633,Región NOA
497,2017,4,San Juan,5.832260073010133,Región Cuyo
498,2017,4,San Luis,5.732208801354054,Región Cuyo
499,2017,4,Santa Cruz,5.206584828874508,Región Patagonia
500,2017,4,Santa Fe,10.297494601847182,Región Centro
501,2017,4,Santiago Del Estero,6.165600214985038,Región NOA
